circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,MANNAPUR,C T METERS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,22099.0,68.63
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,MANNAPUR,MNP HV A GROUP,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,207,185.0,38537.0,460.38
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,MANNAPUR,MNP HV B GROUP,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,128,111.0,34741.0,288.13
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-I,JUNIOR COLLEGE,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,27,25.0,5377.0,95.79
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-I,KALWAKUNTA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,2731.0,15.79
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-I,KULABGOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,24,21.0,1835.0,98.75
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-I,MOHIEEDSHAPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,435.0,5.51
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-I,NALSABGADDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,35,35.0,14449.0,79.86
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,ZAHEERABAD RURAL,ALIGOLE,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,18,17.0,8023.0,39.75
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,ZAHEERABAD RURAL,ANEGUNTA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,16,16.0,10541.0,18.75
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,ZAHEERABAD RURAL,CH.HYDERABAD,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,21,21.0,5847.0,53.4
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,ZAHEERABAD RURAL,DIDGI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,19,18.0,6573.0,41.7
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,ZAHEERABAD RURAL,HOTHI K,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,34,26.0,7836.0,188.0
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,ZAHEERABAD RURAL,HUGGELLI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,32,32.0,28240.0,111.85
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,ZAHEERABAD RURAL,JADIMALKAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,19,19.0,4874.0,33.0
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-I,NEW POST OFFICE,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,24,24.0,4079.0,92.01
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-I,SANGAREDDY TOWN-I,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,180.0,5.0
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-I,TADLAPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,9.0,1794.0,43.45
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-II,ANGADIPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,19,19.0,3793.0,32.5
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-II,BALAJI NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,10.0,5850.0,69.65
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-II,CHINTHAL PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,453.0,9.0
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-II,GANESH NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,23,21.0,9281.0,63.91
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-II,GANJIGUDEM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,2.0,0.0,8.75
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-II,HOSTEL GADDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,18,17.0,2783.0,54.75
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-II,HV - II,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,27439.0,93.75
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,ZAHEERABAD RURAL,KOTHUR B,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,23,23.0,8077.0,56.0
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,ZAHEERABAD RURAL,MALCHALMA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,30,30.0,12326.0,67.0
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,ZAHEERABAD RURAL,PASTAPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,60,60.0,26712.0,150.44
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,ZAHEERABAD RURAL,RAIPALLY (D),LOCALBODIES-STREETLIGHT/PWS SCHEME,6,19,19.0,8723.0,33.0
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,ZAHEERABAD RURAL,RANJOLE,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,47,47.0,23753.0,115.5
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,ZAHEERABAD RURAL,SHAIKAPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,33,33.0,25322.0,74.0
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,ZAHEERABAD TOWN,CT METER,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,16361.0,64.5
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-II,IRIGIPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,1522.0,9.7
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-II,KALABGOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,14.0,2130.0,28.45
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-II,RAJAMPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,57,54.0,12529.0,114.42
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-II,SANGAREDDY TOWN II,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,8.0,2379.0,30.74
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-II,SHANTHI NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,37,37.0,5675.0,77.22
