circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,GOVINDRAJ PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,5634.0,7.75
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,GUNDLA MACHNOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,13.0,9056.0,29.5
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,HATHNOORA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,24,17.0,2169.0,67.25
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,KASAL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,21,21.0,3522.0,29.08
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,KODIPAKA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,538.0,5.75
SANGAREDDY,JOGIPET,NARAYANKHED,SIRGAPUR,POCHAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,4.0,1520.0,7.25
SANGAREDDY,JOGIPET,NARAYANKHED,SIRGAPUR,POTPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,2990.0,6.25
SANGAREDDY,JOGIPET,NARAYANKHED,SIRGAPUR,RAJANAIK THANDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,4.0,2.0
SANGAREDDY,JOGIPET,NARAYANKHED,SIRGAPUR,SANGAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,380.0,4.25
SANGAREDDY,JOGIPET,NARAYANKHED,SIRGAPUR,SIRGAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,23,23.0,2962.0,35.5
SANGAREDDY,JOGIPET,NARAYANKHED,SIRGAPUR,SULTANABAD,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,14.0,2665.0,28.0
SANGAREDDY,JOGIPET,NARAYANKHED,SIRGAPUR,SURYANAIK THANDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,1.0,0.5
SANGAREDDY,JOGIPET,NARAYANKHED,SIRGAPUR,UJLAMPAD,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,9.0,1120.0,13.25
SANGAREDDY,JOGIPET,NARAYANKHED,SIRGAPUR,WALYNAIK THANDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,0.0,0.5
SANGAREDDY,JOGIPET,NARAYANKHED,SIRGAPUR,WANGADAL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,636.0,14.25
SANGAREDDY,JOGIPET,NARAYANKHED,SIRGAPUR,WASAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,15,15.0,1297.0,18.5
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,JOGIPET TOWN-3,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,16,15.0,5758.0,60.25
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,JOGIPET TOWN-4,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,1032.0,3.0
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,JOGIPET TOWN-5,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,9.0,2519.0,23.0
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,JOGIPET TOWN-6,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,11,10.0,1704.0,37.51
